1. Ano,2. Nome Região (Portugal),3. Filtro 1,4. Filtro 2,5. Filtro 3,6. Escala,7. Símbolo,8. Valor
1996,Portugal,Aeromodelismo,,, pessoas,,508
1996,Portugal,Aeronáutica,,, pessoas,-,
1996,Portugal,Aikido,,, pessoas,,300
1996,Portugal,Andebol,,, pessoas,,17386
1996,Portugal,Arqueiros e Besteiros,,, pessoas,,178
1996,Portugal,Artes Marciais Chinesas,,, pessoas,,550
1996,Portugal,Atividades Subaquáticas,,, pessoas,,1036
1996,Portugal,Atletismo,,, pessoas,,11107
1996,Portugal,Automobilismo,,, pessoas,,3798
1996,Portugal,Badminton,,, pessoas,,1592
1996,Portugal,Basebol e Softbol,,, pessoas,-,
1996,Portugal,Basquetebol,,, pessoas,,18050
1996,Portugal,Bilhar,,, pessoas,,795
1996,Portugal,Boxe,,, pessoas,,463
1996,Portugal,Bridge,,, pessoas,,995
1996,Portugal,Budo,,, pessoas,-,
1996,Portugal,Campismo e Montanhismo,,, pessoas,-,
1996,Portugal,Canoagem,,, pessoas,,2297
1996,Portugal,Ciclismo,,, pessoas,,2051
1996,Portugal,Columbofilia,,, pessoas,,17040
1996,Portugal,Corfebol,,, pessoas,,471
1996,Portugal,Damas,,, pessoas,-,
1996,Portugal,Dança Desportiva,,, pessoas,,830
1996,Portugal,Desporto para pessoas com deficiência,,, pessoas,-,
1996,Portugal,Desporto Universitário,,, pessoas,-,
1996,Portugal,Desportos de inverno,,, pessoas,,86
1996,Portugal,Equestre,,, pessoas,,1543
1996,Portugal,Escalada de Competição,,, pessoas,-,
1996,Portugal,Esgrima,,, pessoas,,537
1996,Portugal,Futebol,,, pessoas,,95746
1996,Portugal,Futebol de Salão,,, pessoas,,6477
1996,Portugal,Ginástica,,, pessoas,,4183
1996,Portugal,Golfe,,, pessoas,,4520
1996,Portugal,Halterofilismo,,, pessoas,,371
1996,Portugal,Hóquei,,, pessoas,,1139
1996,Portugal,Hovercraft,,, pessoas,-,
1996,Portugal,Jet Ski,,, pessoas,,153
1996,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1996,Portugal,Judo,,, pessoas,x,
1996,Portugal,Karate,,, pessoas,-,
1996,Portugal,Kickboxing,,, pessoas,,938
1996,Portugal,Lohan Tao Kempo,,, pessoas,-,
1996,Portugal,Lutas Amadoras,,, pessoas,,1169
1996,Portugal,Minigolfe,,, pessoas,-,
1996,Portugal,Motociclismo,,, pessoas,,1214
1996,Portugal,Motonáutica,,, pessoas,,137
1996,Portugal,Natação,,, pessoas,,4317
1996,Portugal,Orientação,,, pessoas,,670
1996,Portugal,Padel,,, pessoas,-,
1996,Portugal,Paraquedismo,,, pessoas,,1080
1996,Portugal,Patinagem,,, pessoas,,12537
1996,Portugal,Pentatlo Moderno,,, pessoas,,156
1996,Portugal,Pesca Desportiva,,, pessoas,,4250
1996,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,234
1996,Portugal,Petanca,,, pessoas,,932
1996,Portugal,Remo,,, pessoas,,1283
1996,Portugal,Rugby,,, pessoas,,2946
1996,Portugal,Ski Náutico,,, pessoas,,34
1996,Portugal,Squash,,, pessoas,,306
1996,Portugal,Surf,,, pessoas,-,
1996,Portugal,Taekwondo,,, pessoas,,423
1996,Portugal,Ténis,,, pessoas,,7957
1996,Portugal,Ténis de Mesa,,, pessoas,,4078
1996,Portugal,Tiro,,, pessoas,,2168
1996,Portugal,Tiro com Arco,,, pessoas,,401
1996,Portugal,Tiro com Armas de Caça,,, pessoas,,2367
1996,Portugal,Total,,, pessoas,,265588
1996,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3219
1996,Portugal,Triatlo,,, pessoas,,268
1996,Portugal,Vela,,, pessoas,,1878
1996,Portugal,Voleibol,,, pessoas,,6199
1996,Portugal,Voo Livre,,, pessoas,,648
1996,Portugal,Xadrez,,, pessoas,,2681
1997,Portugal,Aeromodelismo,,, pessoas,,513
1997,Portugal,Aeronáutica,,, pessoas,-,
1997,Portugal,Aikido,,, pessoas,,427
1997,Portugal,Andebol,,, pessoas,,19501
1997,Portugal,Arqueiros e Besteiros,,, pessoas,,217
1997,Portugal,Artes Marciais Chinesas,,, pessoas,,580
1997,Portugal,Atividades Subaquáticas,,, pessoas,,1103
1997,Portugal,Atletismo,,, pessoas,,11977
1997,Portugal,Automobilismo,,, pessoas,,4282
1997,Portugal,Badminton,,, pessoas,,1641
1997,Portugal,Basebol e Softbol,,, pessoas,-,
1997,Portugal,Basquetebol,,, pessoas,,19138
1997,Portugal,Bilhar,,, pessoas,,534
1997,Portugal,Boxe,,, pessoas,,465
1997,Portugal,Bridge,,, pessoas,,995
1997,Portugal,Budo,,, pessoas,-,
1997,Portugal,Campismo e Montanhismo,,, pessoas,,278
1997,Portugal,Canoagem,,, pessoas,,2308
1997,Portugal,Ciclismo,,, pessoas,,2307
1997,Portugal,Columbofilia,,, pessoas,,16643
1997,Portugal,Corfebol,,, pessoas,,498
1997,Portugal,Damas,,, pessoas,,405
1997,Portugal,Dança Desportiva,,, pessoas,,138
1997,Portugal,Desporto para pessoas com deficiência,,, pessoas,,1078
1997,Portugal,Desporto Universitário,,, pessoas,-,
1997,Portugal,Desportos de inverno,,, pessoas,,73
1997,Portugal,Equestre,,, pessoas,,1194
1997,Portugal,Escalada de Competição,,, pessoas,-,
1997,Portugal,Esgrima,,, pessoas,,503
1997,Portugal,Futebol,,, pessoas,,97252
1997,Portugal,Futebol de Salão,,, pessoas,,4913
1997,Portugal,Ginástica,,, pessoas,,3107
1997,Portugal,Golfe,,, pessoas,,5519
1997,Portugal,Halterofilismo,,, pessoas,,238
1997,Portugal,Hóquei,,, pessoas,,1215
1997,Portugal,Hovercraft,,, pessoas,-,
1997,Portugal,Jet Ski,,, pessoas,,157
1997,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1997,Portugal,Judo,,, pessoas,x,
1997,Portugal,Karate,,, pessoas,-,
1997,Portugal,Kickboxing,,, pessoas,,1327
1997,Portugal,Lohan Tao Kempo,,, pessoas,-,
1997,Portugal,Lutas Amadoras,,, pessoas,,1342
1997,Portugal,Minigolfe,,, pessoas,-,
1997,Portugal,Motociclismo,,, pessoas,,928
1997,Portugal,Motonáutica,,, pessoas,,146
1997,Portugal,Natação,,, pessoas,,4981
1997,Portugal,Orientação,,, pessoas,,786
1997,Portugal,Padel,,, pessoas,-,
1997,Portugal,Paraquedismo,,, pessoas,,1096
1997,Portugal,Patinagem,,, pessoas,,8091
1997,Portugal,Pentatlo Moderno,,, pessoas,,131
1997,Portugal,Pesca Desportiva,,, pessoas,,3957
1997,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,119
1997,Portugal,Petanca,,, pessoas,,931
1997,Portugal,Remo,,, pessoas,,1197
1997,Portugal,Rugby,,, pessoas,,3126
1997,Portugal,Ski Náutico,,, pessoas,,34
1997,Portugal,Squash,,, pessoas,,240
1997,Portugal,Surf,,, pessoas,,1026
1997,Portugal,Taekwondo,,, pessoas,,1282
1997,Portugal,Ténis,,, pessoas,,7940
1997,Portugal,Ténis de Mesa,,, pessoas,,4456
1997,Portugal,Tiro,,, pessoas,,2247
1997,Portugal,Tiro com Arco,,, pessoas,,337
1997,Portugal,Tiro com Armas de Caça,,, pessoas,,2502
1997,Portugal,Total,,, pessoas,,271470
1997,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3355
1997,Portugal,Triatlo,,, pessoas,,314
1997,Portugal,Vela,,, pessoas,,2399
1997,Portugal,Voleibol,,, pessoas,,7278
1997,Portugal,Voo Livre,,, pessoas,,560
1997,Portugal,Xadrez,,, pessoas,,2781
1998,Portugal,Aeromodelismo,,, pessoas,,540
1998,Portugal,Aeronáutica,,, pessoas,-,
1998,Portugal,Aikido,,, pessoas,,469
1998,Portugal,Andebol,,, pessoas,,20306
1998,Portugal,Arqueiros e Besteiros,,, pessoas,,231
1998,Portugal,Artes Marciais Chinesas,,, pessoas,,303
1998,Portugal,Atividades Subaquáticas,,, pessoas,,2311
1998,Portugal,Atletismo,,, pessoas,,12420
1998,Portugal,Automobilismo,,, pessoas,,4390
1998,Portugal,Badminton,,, pessoas,,1919
1998,Portugal,Basebol e Softbol,,, pessoas,-,
1998,Portugal,Basquetebol,,, pessoas,,19831
1998,Portugal,Bilhar,,, pessoas,,900
1998,Portugal,Boxe,,, pessoas,,431
1998,Portugal,Bridge,,, pessoas,,995
1998,Portugal,Budo,,, pessoas,-,
1998,Portugal,Campismo e Montanhismo,,, pessoas,,320
1998,Portugal,Canoagem,,, pessoas,,2253
1998,Portugal,Ciclismo,,, pessoas,,2328
1998,Portugal,Columbofilia,,, pessoas,,17982
1998,Portugal,Corfebol,,, pessoas,,668
1998,Portugal,Damas,,, pessoas,,391
1998,Portugal,Dança Desportiva,,, pessoas,,200
1998,Portugal,Desporto para pessoas com deficiência,,, pessoas,,1878
1998,Portugal,Desporto Universitário,,, pessoas,-,
1998,Portugal,Desportos de inverno,,, pessoas,,47
1998,Portugal,Equestre,,, pessoas,,1099
1998,Portugal,Escalada de Competição,,, pessoas,-,
1998,Portugal,Esgrima,,, pessoas,,402
1998,Portugal,Futebol,,, pessoas,,106051
1998,Portugal,Futebol de Salão,,, pessoas,,4584
1998,Portugal,Ginástica,,, pessoas,,5195
1998,Portugal,Golfe,,, pessoas,,6307
1998,Portugal,Halterofilismo,,, pessoas,,203
1998,Portugal,Hóquei,,, pessoas,,913
1998,Portugal,Hovercraft,,, pessoas,-,
1998,Portugal,Jet Ski,,, pessoas,,180
1998,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1998,Portugal,Judo,,, pessoas,x,
1998,Portugal,Karate,,, pessoas,,10141
1998,Portugal,Kickboxing,,, pessoas,,2733
1998,Portugal,Lohan Tao Kempo,,, pessoas,-,
1998,Portugal,Lutas Amadoras,,, pessoas,,1391
1998,Portugal,Minigolfe,,, pessoas,,144
1998,Portugal,Motociclismo,,, pessoas,,966
1998,Portugal,Motonáutica,,, pessoas,,131
1998,Portugal,Natação,,, pessoas,,5404
1998,Portugal,Orientação,,, pessoas,,1024
1998,Portugal,Padel,,, pessoas,-,
1998,Portugal,Paraquedismo,,, pessoas,,1127
1998,Portugal,Patinagem,,, pessoas,,10141
1998,Portugal,Pentatlo Moderno,,, pessoas,,412
1998,Portugal,Pesca Desportiva,,, pessoas,,4263
1998,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,156
1998,Portugal,Petanca,,, pessoas,,887
1998,Portugal,Remo,,, pessoas,,1211
1998,Portugal,Rugby,,, pessoas,,3584
1998,Portugal,Ski Náutico,,, pessoas,,26
1998,Portugal,Squash,,, pessoas,,274
1998,Portugal,Surf,,, pessoas,,1215
1998,Portugal,Taekwondo,,, pessoas,,1258
1998,Portugal,Ténis,,, pessoas,,8903
1998,Portugal,Ténis de Mesa,,, pessoas,,4441
1998,Portugal,Tiro,,, pessoas,,2884
1998,Portugal,Tiro com Arco,,, pessoas,,243
1998,Portugal,Tiro com Armas de Caça,,, pessoas,,2807
1998,Portugal,Total,,, pessoas,,308233
1998,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3017
1998,Portugal,Triatlo,,, pessoas,,392
1998,Portugal,Vela,,, pessoas,,2435
1998,Portugal,Voleibol,,, pessoas,,8028
1998,Portugal,Voo Livre,,, pessoas,,774
1998,Portugal,Xadrez,,, pessoas,,3388
1999,Portugal,Aeromodelismo,,, pessoas,,614
1999,Portugal,Aeronáutica,,, pessoas,-,
1999,Portugal,Aikido,,, pessoas,,523
1999,Portugal,Andebol,,, pessoas,,21731
1999,Portugal,Arqueiros e Besteiros,,, pessoas,,211
1999,Portugal,Artes Marciais Chinesas,,, pessoas,,463
1999,Portugal,Atividades Subaquáticas,,, pessoas,,2308
1999,Portugal,Atletismo,,, pessoas,,12776
1999,Portugal,Automobilismo,,, pessoas,,5239
1999,Portugal,Badminton,,, pessoas,,1622
1999,Portugal,Basebol e Softbol,,, pessoas,-,
1999,Portugal,Basquetebol,,, pessoas,,20869
1999,Portugal,Bilhar,,, pessoas,,584
1999,Portugal,Boxe,,, pessoas,,349
1999,Portugal,Bridge,,, pessoas,,978
1999,Portugal,Budo,,, pessoas,-,
1999,Portugal,Campismo e Montanhismo,,, pessoas,,440
1999,Portugal,Canoagem,,, pessoas,,1593
1999,Portugal,Ciclismo,,, pessoas,,4151
1999,Portugal,Columbofilia,,, pessoas,,17458
1999,Portugal,Corfebol,,, pessoas,,669
1999,Portugal,Damas,,, pessoas,,358
1999,Portugal,Dança Desportiva,,, pessoas,,456
1999,Portugal,Desporto para pessoas com deficiência,,, pessoas,,2699
1999,Portugal,Desporto Universitário,,, pessoas,-,
1999,Portugal,Desportos de inverno,,, pessoas,,58
1999,Portugal,Equestre,,, pessoas,,1085
1999,Portugal,Escalada de Competição,,, pessoas,-,
1999,Portugal,Esgrima,,, pessoas,,575
1999,Portugal,Futebol,,, pessoas,,110822
1999,Portugal,Futebol de Salão,,, pessoas,,4218
1999,Portugal,Ginástica,,, pessoas,,5860
1999,Portugal,Golfe,,, pessoas,,7548
1999,Portugal,Halterofilismo,,, pessoas,,139
1999,Portugal,Hóquei,,, pessoas,,852
1999,Portugal,Hovercraft,,, pessoas,-,
1999,Portugal,Jet Ski,,, pessoas,,263
1999,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
1999,Portugal,Judo,,, pessoas,x,
1999,Portugal,Karate,,, pessoas,,10005
1999,Portugal,Kickboxing,,, pessoas,,2020
1999,Portugal,Lohan Tao Kempo,,, pessoas,-,
1999,Portugal,Lutas Amadoras,,, pessoas,,1529
1999,Portugal,Minigolfe,,, pessoas,,178
1999,Portugal,Motociclismo,,, pessoas,,912
1999,Portugal,Motonáutica,,, pessoas,,130
1999,Portugal,Natação,,, pessoas,,6138
1999,Portugal,Orientação,,, pessoas,,910
1999,Portugal,Padel,,, pessoas,-,
1999,Portugal,Paraquedismo,,, pessoas,,1108
1999,Portugal,Patinagem,,, pessoas,,10005
1999,Portugal,Pentatlo Moderno,,, pessoas,,401
1999,Portugal,Pesca Desportiva,,, pessoas,,3941
1999,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,192
1999,Portugal,Petanca,,, pessoas,,1005
1999,Portugal,Remo,,, pessoas,,1257
1999,Portugal,Rugby,,, pessoas,,3727
1999,Portugal,Ski Náutico,,, pessoas,,26
1999,Portugal,Squash,,, pessoas,,381
1999,Portugal,Surf,,, pessoas,,568
1999,Portugal,Taekwondo,,, pessoas,,1916
1999,Portugal,Ténis,,, pessoas,,9185
1999,Portugal,Ténis de Mesa,,, pessoas,,4320
1999,Portugal,Tiro,,, pessoas,,3332
1999,Portugal,Tiro com Arco,,, pessoas,,284
1999,Portugal,Tiro com Armas de Caça,,, pessoas,,2934
1999,Portugal,Total,,, pessoas,,321723
1999,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,3232
1999,Portugal,Triatlo,,, pessoas,,421
1999,Portugal,Vela,,, pessoas,,2469
1999,Portugal,Voleibol,,, pessoas,,8140
1999,Portugal,Voo Livre,,, pessoas,,712
1999,Portugal,Xadrez,,, pessoas,,3575
2000,Portugal,Aeromodelismo,,, pessoas,,661
2000,Portugal,Aeronáutica,,, pessoas,,3067
2000,Portugal,Aikido,,, pessoas,,536
2000,Portugal,Andebol,,, pessoas,,22032
2000,Portugal,Arqueiros e Besteiros,,, pessoas,,164
2000,Portugal,Artes Marciais Chinesas,,, pessoas,,475
2000,Portugal,Atividades Subaquáticas,,, pessoas,,2591
2000,Portugal,Atletismo,,, pessoas,,12524
2000,Portugal,Automobilismo,,, pessoas,,5437
2000,Portugal,Badminton,,, pessoas,,1232
2000,Portugal,Basebol e Softbol,,, pessoas,-,
2000,Portugal,Basquetebol,,, pessoas,,20278
2000,Portugal,Bilhar,,, pessoas,,595
2000,Portugal,Boxe,,, pessoas,,205
2000,Portugal,Bridge,,, pessoas,,998
2000,Portugal,Budo,,, pessoas,-,
2000,Portugal,Campismo e Montanhismo,,, pessoas,,805
2000,Portugal,Canoagem,,, pessoas,,1471
2000,Portugal,Ciclismo,,, pessoas,,4241
2000,Portugal,Columbofilia,,, pessoas,,17572
2000,Portugal,Corfebol,,, pessoas,,656
2000,Portugal,Damas,,, pessoas,,353
2000,Portugal,Dança Desportiva,,, pessoas,,617
2000,Portugal,Desporto para pessoas com deficiência,,, pessoas,,2235
2000,Portugal,Desporto Universitário,,, pessoas,-,
2000,Portugal,Desportos de inverno,,, pessoas,,140
2000,Portugal,Equestre,,, pessoas,,1154
2000,Portugal,Escalada de Competição,,, pessoas,-,
2000,Portugal,Esgrima,,, pessoas,,647
2000,Portugal,Futebol,,, pessoas,,113895
2000,Portugal,Futebol de Salão,,, pessoas,,3194
2000,Portugal,Ginástica,,, pessoas,,6339
2000,Portugal,Golfe,,, pessoas,,9438
2000,Portugal,Halterofilismo,,, pessoas,,135
2000,Portugal,Hóquei,,, pessoas,,719
2000,Portugal,Hovercraft,,, pessoas,-,
2000,Portugal,Jet Ski,,, pessoas,,365
2000,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
2000,Portugal,Judo,,, pessoas,x,
2000,Portugal,Karate,,, pessoas,-,
2000,Portugal,Kickboxing,,, pessoas,,2034
2000,Portugal,Lohan Tao Kempo,,, pessoas,-,
2000,Portugal,Lutas Amadoras,,, pessoas,,995
2000,Portugal,Minigolfe,,, pessoas,,187
2000,Portugal,Motociclismo,,, pessoas,,1160
2000,Portugal,Motonáutica,,, pessoas,,152
2000,Portugal,Natação,,, pessoas,,5630
2000,Portugal,Orientação,,, pessoas,,1190
2000,Portugal,Padel,,, pessoas,-,
2000,Portugal,Paraquedismo,,, pessoas,,1160
2000,Portugal,Patinagem,,, pessoas,,10319
2000,Portugal,Pentatlo Moderno,,, pessoas,,187
2000,Portugal,Pesca Desportiva,,, pessoas,,3975
2000,Portugal,Pesca Desportiva do Alto Mar,,, pessoas,,379
2000,Portugal,Petanca,,, pessoas,,1051
2000,Portugal,Remo,,, pessoas,,1270
2000,Portugal,Rugby,,, pessoas,,3721
2000,Portugal,Ski Náutico,,, pessoas,,63
2000,Portugal,Squash,,, pessoas,-,
2000,Portugal,Surf,,, pessoas,,921
2000,Portugal,Taekwondo,,, pessoas,,1963
2000,Portugal,Ténis,,, pessoas,,10204
2000,Portugal,Ténis de Mesa,,, pessoas,,4593
2000,Portugal,Tiro,,, pessoas,,3519
2000,Portugal,Tiro com Arco,,, pessoas,,335
2000,Portugal,Tiro com Armas de Caça,,, pessoas,,2589
2000,Portugal,Total,,, pessoas,,322761
2000,Portugal,Trampolins e Desp. Acrobáticos,,, pessoas,,2575
2000,Portugal,Triatlo,,, pessoas,,440
2000,Portugal,Vela,,, pessoas,,2712
2000,Portugal,Voleibol,,, pessoas,,9813
2000,Portugal,Voo Livre,,, pessoas,,794
2000,Portugal,Xadrez,,, pessoas,,3707
2001,Portugal,Aeromodelismo,,, pessoas,,740
2001,Portugal,Aeronáutica,,, pessoas,,3313
2001,Portugal,Aikido,,, pessoas,,614
2001,Portugal,Andebol,,, pessoas,,22152
2001,Portugal,Arqueiros e Besteiros,,, pessoas,,152
2001,Portugal,Artes Marciais Chinesas,,, pessoas,,218
2001,Portugal,Atividades Subaquáticas,,, pessoas,,3198
2001,Portugal,Atletismo,,, pessoas,,12085
2001,Portugal,Automobilismo,,, pessoas,,3777
2001,Portugal,Badminton,,, pessoas,,2077
2001,Portugal,Basebol e Softbol,,, pessoas,-,
2001,Portugal,Basquetebol,,, pessoas,,19994
2001,Portugal,Bilhar,,, pessoas,,973
2001,Portugal,Boxe,,, pessoas,,362
2001,Portugal,Bridge,,, pessoas,,918
2001,Portugal,Budo,,, pessoas,,242
2001,Portugal,Campismo e Montanhismo,,, pessoas,,1256
2001,Portugal,Canoagem,,, pessoas,,1581
2001,Portugal,Ciclismo,,, pessoas,,4191
2001,Portugal,Columbofilia,,, pessoas,,17712
2001,Portugal,Corfebol,,, pessoas,,684
2001,Portugal,Damas,,, pessoas,,381
2001,Portugal,Dança Desportiva,,, pessoas,,898
2001,Portugal,Desporto para pessoas com deficiência,,, pessoas,,2262
2001,Portugal,Desporto Universitário,,, pessoas,-,
2001,Portugal,Desportos de inverno,,, pessoas,,155
2001,Portugal,Equestre,,, pessoas,,1015
2001,Portugal,Escalada de Competição,,, pessoas,-,
2001,Portugal,Esgrima,,, pessoas,,724
2001,Portugal,Futebol,,, pessoas,,115283
2001,Portugal,Futebol de Salão,,, pessoas,,2757
2001,Portugal,Ginástica,,, pessoas,,5362
2001,Portugal,Golfe,,, pessoas,,12111
2001,Portugal,Halterofilismo,,, pessoas,-,
2001,Portugal,Hóquei,,, pessoas,,724
2001,Portugal,Hovercraft,,, pessoas,-,
2001,Portugal,Jet Ski,,, pessoas,,459
2001,Portugal,Ju-Jitsu e Disciplinas Associadas,,, pessoas,x,
2001,Portugal,Judo,,, pessoas,x,
2001,Portugal,Karate,,, pessoas,-,
2001,Portugal,Kickboxing,,, pessoas,,2639
2001,Portugal,Lohan Tao Kempo,,, pessoas,-,
